"Hash","Count","KeepCandidate","Paths"
"34599130691A484841C97FA41D2D8F1EE58B2B5186E3FFAC8D3502C98BE2DA84","4","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\tinymce\skins\ui\oxide\skin.shadowdom.css","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\tinymce\skins\ui\oxide\skin.shadowdom.css;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\tinymce\skins\ui\oxide-dark\skin.shadowdom.css;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\tinymce\skins\ui\tinymce-5\skin.shadowdom.css;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\tinymce\skins\ui\tinymce-5-dark\skin.shadowdom.css"
"C62263947FEBEEF13F89926EF5A05B0EDA6AEEC920681DE2AF86EF07A1180BB3","3","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_query_builder_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_query_builder_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_schedule_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\device\ic_access_time_24px.svg"
"671A02CB3A7A9C0553A56710D9ABFA5BFAFF8DB9D22937A3B23C8BE30F8EA7AA","3","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\editor\ic_insert_photo_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\editor\ic_insert_photo_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\image\ic_image_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\image\ic_photo_24px.svg"
"7D13454D35B59CC1B6FC79A7FF7B94805522234424A6DEE6C177936E38A39488","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\image\ic_crop_5_4_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\image\ic_crop_5_4_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\image\ic_crop_landscape_24px.svg"
"36855ACAEB73E1543F77500E12A3DB813A0CF698A310E337306A9042DCF607ED","4","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\communication\ic_email_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\communication\ic_email_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\content\ic_mail_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\content\ic_markunread_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\maps\ic_local_post_office_24px.svg"
"1E87A9FC6D4FC9F66FA9EEF5726764AB9A7AFD32CC7EDA04106BF8308007ED24","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\av\ic_not_interested_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\av\ic_not_interested_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\notification\ic_do_not_disturb_24px.svg"
"2506B8F9A82A215ED55397FC4BC604E7B801C3B2BA6ECCAEEE4645E258E8855B","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_alarm_add_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_alarm_add_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\device\ic_add_alarm_24px.svg"
"F5BB2755FE1C016CEA33C93D636299A87E6F944591A13EE9528916A119AD6251","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_alarm_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_alarm_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\device\ic_access_alarm_24px.svg"
"7EA1C5AB4938C31FFF7349644E8181445D15A9576418E3EC0A5FF20EC4F3EFD7","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_print_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_print_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\maps\ic_local_printshop_24px.svg"
"181D250DDD4BF7D3A95AB379A4B75B69C3078BAA4B798634AB06C4F4858F3F98","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\quill\quill.core.js.LICENSE.txt","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\quill\quill.core.js.LICENSE.txt;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\quill\quill.js.LICENSE.txt"
